                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.80548,                0.61937,                 1.1291,                0.85757,                0.85849,                0.88628,                0.61815,                 1.1266,                 0.7261,                  1.405,             0.00056128,             0.00056128,             0.00056128
                     69,                0.79813,                0.61703,                  1.129,                0.88264,                0.85642,                0.88757,                0.62053,                 1.1266,                0.72832,                 1.3925,             0.00054478,             0.00054478,             0.00054478
                     70,                0.78025,                0.60315,                 1.1249,                0.89512,                0.83651,                0.88791,                0.61823,                 1.1174,                0.73249,                  1.402,             0.00052827,             0.00052827,             0.00052827
                     71,                0.78556,                0.60025,                 1.1158,                 0.8644,                0.86136,                0.88779,                0.63024,                 1.1237,                0.72481,                 1.4088,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77643,                0.59859,                 1.1166,                0.89072,                0.84964,                0.88892,                0.62292,                 1.1252,                0.73417,                 1.3998,             0.00049527,             0.00049527,             0.00049527
                     73,                0.77409,                0.59315,                 1.1123,                 0.8971,                  0.837,                0.88488,                0.61811,                 1.1127,                0.71036,                 1.3898,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78198,                0.58763,                 1.1216,                0.88646,                0.84715,                0.88524,                0.61456,                 1.1178,                0.70618,                 1.3945,             0.00046226,             0.00046226,             0.00046226
                     75,                0.75328,                0.57811,                 1.0948,                0.88342,                0.83976,                0.88041,                0.61874,                 1.1136,                0.71286,                  1.399,             0.00044576,             0.00044576,             0.00044576
                     76,                0.76535,                0.57736,                 1.1092,                0.87893,                0.84367,                0.88342,                0.61129,                  1.119,                0.72808,                 1.4078,             0.00042925,             0.00042925,             0.00042925
                     77,                0.74551,                0.56772,                 1.1007,                0.88284,                0.84752,                0.88931,                0.61719,                 1.1208,                 0.7082,                 1.4084,             0.00041275,             0.00041275,             0.00041275
                     78,                0.75084,                0.57277,                 1.1038,                0.88401,                  0.856,                0.88985,                0.62186,                 1.1267,                0.69952,                 1.4172,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.7351,                0.55055,                 1.0871,                0.87762,                0.86287,                0.88771,                0.62329,                 1.1148,                 0.6982,                 1.4238,             0.00037974,             0.00037974,             0.00037974
                     80,                0.72921,                0.54527,                 1.0893,                0.85041,                0.87615,                0.89275,                0.62723,                 1.1072,                0.70898,                 1.4143,             0.00036324,             0.00036324,             0.00036324
                     81,                0.72285,                0.54946,                 1.0845,                0.88516,                0.85202,                0.89426,                0.62517,                 1.1181,                0.70355,                 1.4147,             0.00034674,             0.00034674,             0.00034674
                     82,                0.72591,                0.54752,                 1.0847,                0.88906,                0.83281,                0.88579,                0.62826,                 1.1029,                0.71375,                 1.4002,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.7136,                0.53931,                 1.0742,                0.90478,                0.83118,                0.89438,                0.62695,                 1.1031,                0.68093,                 1.4177,             0.00031373,             0.00031373,             0.00031373
                     84,                0.69965,                0.53063,                 1.0663,                0.86354,                0.85562,                0.88926,                0.62434,                 1.0908,                0.70322,                 1.3969,             0.00029723,             0.00029723,             0.00029723
                     85,                0.70172,                0.52504,                 1.0703,                0.85261,                0.86096,                0.88395,                0.62412,                 1.1104,                0.71934,                 1.4134,             0.00028072,             0.00028072,             0.00028072
                     86,                0.69719,                0.51664,                  1.069,                0.90173,                0.84405,                 0.8982,                0.63348,                  1.112,                0.70185,                 1.4055,             0.00026422,             0.00026422,             0.00026422
                     87,                0.69449,                0.52216,                 1.0742,                0.89634,                0.83642,                0.89518,                0.63517,                 1.0964,                0.70319,                 1.3999,             0.00024772,             0.00024772,             0.00024772
                     88,                0.68152,                0.51675,                 1.0626,                0.88695,                0.85205,                0.89233,                0.62841,                 1.1188,                0.71957,                 1.4259,             0.00023121,             0.00023121,             0.00023121
                     89,                0.68658,                0.51082,                 1.0605,                0.87731,                0.86347,                0.89258,                0.62657,                 1.1216,                0.71392,                 1.4175,             0.00021471,             0.00021471,             0.00021471
                     90,                0.61717,                0.37816,                 1.0135,                0.85955,                0.87169,                0.89033,                0.62706,                 1.1098,                0.70126,                 1.4248,             0.00019821,             0.00019821,             0.00019821
                     91,                0.59139,                0.35867,                0.99435,                0.86656,                0.87309,                0.89697,                0.63908,                 1.0887,                0.69155,                 1.4119,              0.0001817,              0.0001817,              0.0001817
                     92,                0.57869,                0.34606,                0.99254,                0.90217,                0.83279,                0.89394,                0.64108,                 1.0899,                0.70509,                 1.4181,              0.0001652,              0.0001652,              0.0001652
                     93,                0.57125,                0.34411,                0.98193,                0.88724,                0.84484,                0.89339,                0.63336,                 1.1067,                0.70762,                 1.4304,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.5583,                0.33323,                0.97842,                0.87889,                0.86205,                0.89476,                0.63587,                 1.0966,                0.70905,                 1.4161,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.5517,                0.32944,                0.97245,                0.86182,                0.86931,                 0.8948,                0.63934,                  1.109,                0.71257,                 1.4232,             0.00011569,             0.00011569,             0.00011569
                     96,                0.54745,                0.32824,                0.97227,                0.87443,                0.86407,                0.89544,                0.63767,                 1.1037,                  0.707,                 1.4295,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.5395,                0.32223,                0.96512,                0.87121,                 0.8699,                 0.8943,                0.63878,                 1.1056,                0.71139,                 1.4326,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.54283,                0.32324,                0.97024,                0.86395,                0.87731,                0.89095,                0.63514,                 1.0955,                0.70648,                 1.4219,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.53659,                 0.3182,                 0.9649,                0.87669,                0.85963,                0.89095,                0.63795,                 1.1004,                  0.709,                 1.4288,             4.9677e-05,             4.9677e-05,             4.9677e-05
