                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.287,                0.59588,                 1.1085,                0.91923,                0.92439,                0.94277,                0.54971,                 1.5406,                0.61941,                 1.3148,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2758,                0.58723,                 1.0955,                0.92856,                0.90719,                0.94127,                0.55641,                 1.5302,                0.62448,                 1.3038,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2504,                0.57816,                  1.086,                0.91799,                0.91878,                0.94408,                0.56069,                 1.5444,                0.62705,                 1.3114,               0.000812,               0.000812,               0.000812
                     62,                 1.2502,                0.57315,                 1.0849,                0.90971,                 0.9334,                0.94633,                0.56262,                 1.5435,                0.62578,                 1.3138,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.236,                0.56603,                  1.083,                0.91018,                0.92513,                0.94716,                0.56387,                 1.5402,                0.62798,                 1.3145,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2201,                0.55678,                 1.0861,                0.91721,                0.91386,                0.94505,                0.56262,                 1.5501,                0.62291,                 1.3199,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2243,                0.56288,                 1.0825,                0.92705,                0.90863,                0.94281,                0.56437,                 1.5413,                0.62402,                 1.3117,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.203,                0.55235,                 1.0735,                0.92601,                0.91371,                0.94471,                0.55854,                  1.546,                0.61843,                 1.3188,               0.000713,               0.000713,               0.000713
                     67,                  1.226,                0.55463,                 1.0764,                0.90202,                0.92299,                0.94005,                0.56163,                 1.5396,                0.62047,                 1.3174,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2131,                0.55321,                 1.0773,                0.93079,                0.90102,                0.94607,                0.56671,                 1.5297,                0.61685,                 1.3056,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.206,                0.55002,                 1.0677,                0.91383,                 0.9286,                0.94207,                  0.568,                 1.5305,                0.62155,                 1.3101,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2019,                 0.5477,                 1.0692,                 0.9028,                0.92513,                0.94346,                0.56798,                 1.5295,                0.61574,                 1.3105,              0.0006338,              0.0006338,              0.0006338
