                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.83544,                0.66721,                 1.1487,                0.86623,                0.83404,                0.86917,                0.60956,                 1.1125,                 0.7821,                 1.3824,             0.00049527,             0.00049527,             0.00049527
                     73,                0.83413,                0.65216,                 1.1448,                0.87856,                0.82817,                0.87453,                0.60773,                 1.1084,                0.77787,                  1.376,             0.00047876,             0.00047876,             0.00047876
                     74,                0.82008,                0.63384,                  1.138,                0.88866,                0.83988,                0.87836,                0.60098,                 1.1317,                0.77784,                 1.3919,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.8239,                0.63758,                  1.138,                0.85735,                0.83581,                0.87206,                0.60276,                 1.1284,                0.77949,                 1.3993,             0.00044576,             0.00044576,             0.00044576
                     76,                0.81147,                0.62157,                 1.1257,                0.86921,                0.84124,                0.87029,                0.60097,                 1.1223,                0.77921,                 1.3892,             0.00042925,             0.00042925,             0.00042925
                     77,                0.80113,                0.62948,                  1.128,                0.88575,                0.83093,                0.88339,                0.61498,                 1.1334,                0.75456,                 1.4044,             0.00041275,             0.00041275,             0.00041275
                     78,                0.81255,                 0.6293,                 1.1393,                0.88053,                0.82476,                0.87414,                 0.6073,                  1.123,                0.77834,                 1.3825,             0.00039625,             0.00039625,             0.00039625
                     79,                0.80008,                0.62613,                 1.1224,                0.87543,                0.85809,                 0.8844,                0.61068,                 1.1199,                0.76215,                 1.3895,             0.00037974,             0.00037974,             0.00037974
                     80,                0.80093,                0.61767,                 1.1255,                0.86716,                0.83885,                 0.8813,                0.61077,                 1.1121,                0.76638,                 1.3923,             0.00036324,             0.00036324,             0.00036324
                     81,                0.78872,                0.61344,                 1.1148,                0.88308,                0.84351,                0.87923,                 0.6133,                 1.1086,                0.77505,                 1.3782,             0.00034674,             0.00034674,             0.00034674
                     82,                0.77712,                0.59882,                 1.1103,                0.86779,                0.84246,                0.87282,                0.61149,                 1.1339,                0.78327,                 1.4061,             0.00033023,             0.00033023,             0.00033023
                     83,                0.78223,                0.59773,                 1.1213,                0.86863,                0.85089,                0.87858,                0.61383,                 1.1152,                0.76353,                 1.3964,             0.00031373,             0.00031373,             0.00031373
                     84,                0.76285,                0.58996,                 1.1056,                0.88208,                0.84603,                0.87454,                0.61351,                 1.1097,                0.74518,                 1.3898,             0.00029723,             0.00029723,             0.00029723
                     85,                0.76269,                0.57877,                 1.1023,                0.86616,                0.84171,                0.87799,                0.61765,                 1.1242,                0.77108,                 1.4087,             0.00028072,             0.00028072,             0.00028072
                     86,                0.75449,                0.56976,                 1.1001,                0.87086,                0.85563,                0.88845,                0.62221,                 1.1221,                0.73922,                 1.4023,             0.00026422,             0.00026422,             0.00026422
                     87,                0.76632,                0.58204,                 1.0998,                0.88738,                0.83967,                0.88277,                0.61913,                 1.1259,                 0.7439,                 1.4059,             0.00024772,             0.00024772,             0.00024772
                     88,                0.74659,                0.55268,                 1.0865,                0.88683,                0.84439,                0.88231,                0.61469,                 1.1246,                 0.7563,                 1.4014,             0.00023121,             0.00023121,             0.00023121
                     89,                0.75189,                0.56285,                 1.0932,                 0.8891,                0.84409,                0.88048,                0.61916,                 1.1256,                0.74794,                 1.4071,             0.00021471,             0.00021471,             0.00021471
                     90,                0.72723,                0.45936,                 1.0792,                0.88552,                0.83053,                0.87298,                0.60793,                  1.133,                0.73964,                 1.4216,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71036,                 0.4324,                 1.0612,                0.89322,                0.82574,                0.87554,                0.61322,                 1.1205,                0.74077,                 1.4023,              0.0001817,              0.0001817,              0.0001817
                     92,                0.70055,                0.41966,                 1.0596,                0.88225,                0.83765,                0.87947,                0.61725,                 1.1214,                0.73392,                  1.397,              0.0001652,              0.0001652,              0.0001652
                     93,                0.68678,                0.41733,                 1.0477,                 0.8925,                0.83204,                0.88479,                0.62715,                 1.1095,                0.73205,                 1.3915,              0.0001487,              0.0001487,              0.0001487
                     94,                0.68626,                0.42202,                 1.0428,                0.85856,                0.85305,                0.87977,                0.61964,                  1.126,                0.74555,                 1.4085,             0.00013219,             0.00013219,             0.00013219
                     95,                0.68041,                0.41455,                  1.046,                0.88159,                0.84253,                0.88011,                0.62203,                 1.1111,                0.72793,                 1.3979,             0.00011569,             0.00011569,             0.00011569
                     96,                0.66068,                0.39827,                 1.0318,                0.87906,                0.83992,                0.88418,                 0.6323,                 1.1049,                0.71733,                 1.3919,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.65448,                0.39243,                 1.0264,                0.86031,                0.86065,                0.88402,                0.63112,                 1.1034,                0.72849,                 1.3898,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.64977,                0.39461,                 1.0263,                 0.8528,                0.86189,                0.88525,                0.62835,                 1.1036,                0.72014,                 1.3926,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.6578,                0.39139,                 1.0318,                0.87356,                0.85408,                0.88522,                0.62887,                 1.1092,                0.71812,                 1.3954,             4.9677e-05,             4.9677e-05,             4.9677e-05
